kepoi_name,kepler_name,koi_disposition,koi_pdisposition,ra,dec,koi_period,koi_prad,koi_depth,koi_duration,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_impact,koi_eccen,koi_model_snr,koi_score
"K00001.01","Kepler-1 b","CONFIRMED","CANDIDATE",286.808470,49.316399,2.470613377,13.04,14230.9,1.74319,1339.0,761.46,5820.00,0.9640,0.9710,4.457,0.818,0,4304.30,0.8110
"K00002.01","Kepler-2 b","CONFIRMED","CANDIDATE",292.247280,47.969521,2.204735417,16.1,6674.7,3.88864,2048.0,4148.92,6440.00,1.9520,1.4490,4.019,0.224,0,5945.90,1.0000
"K00003.01","Kepler-3 b","CONFIRMED","CANDIDATE",297.709350,48.080853,4.887803076,4.82,4315.8,2.36255,800.0,96.67,4778.00,0.7630,0.8300,4.591,0.054,0,862.30,0.9130
"K00010.01","Kepler-8 b","CONFIRMED","CANDIDATE",281.288120,42.451080,3.522498429,14.59,9145.7,3.19843,1521.0,1264.67,6225.00,1.4510,1.1320,4.169,0.631,0,1741.50,0.9980
"K00011.01",,"FALSE POSITIVE","FALSE POSITIVE",291.061520,50.265129,3.747838198,13.65,616,5.0642,1031.0,266.76,5514.00,0.8260,0.9260,4.569,1.121,0,138.20,0.0000
"K00012.01","Kepler-448 b","CONFIRMED","CANDIDATE",297.453740,41.010990,17.855221681,13.16,9065.2,7.41287,911.0,163.04,6823.00,1.3670,1.3860,4.308,0.075,0,915.70,0.6350
"K00013.01","Kepler-13 b","CONFIRMED","CANDIDATE",286.971190,46.868359,1.763587535,21.42,4590.6,3.16877,3559.0,37958.27,9107.00,3.0310,2.4660,3.867,0.512,0,4061.90,0.8750
"K00014.01",,"FALSE POSITIVE","FALSE POSITIVE",292.611940,43.305141,2.947376671,403.59,433.2,2.0911,2404.0,7903.84,8090.00,2.2340,1.8280,4.002,2.641,0,62.30,0.0000
"K00015.01",,"FALSE POSITIVE","FALSE POSITIVE",294.143400,39.089779,3.012476582,65.25,1138.5,3.1424,2371.0,7471.65,8601.00,2.0310,2.0630,4.137,1.261,0,253.40,0.0000
"K00016.01",,"FALSE POSITIVE","FALSE POSITIVE",298.344210,45.409920,0.895277575,9.27,534.5,2.711,4253.0,77480.31,8040.00,3.3250,2.0530,3.707,0.928,0,132.10,0.0000
