pl_name,hostname,ra,dec,discoverymethod,disc_facility,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,pl_eqt,pl_trandep,pl_trandur,pl_orbincl,st_teff,st_rad,st_mass,st_met,st_logg,st_lum,st_spectype
"16 Cyg B b","16 Cyg B",295.4656422,50.5168243,"Radial Velocity","Multiple Observatories",1996,13.50000000,565.73740000,798.50000000000,1.6600000000,0.680000,1.260000,228.76,,,,5750.00,1.130000,1.080000,0.0600,4.360000,0.09729,"G3 V"
"2MASS J01033563-5515561 AB b","2MASS J01033563-5515561 A",15.8992489,-55.2658291,"Imaging","Paranal Observatory",2013,12.30000000,4131.79000000,,84.0000000000,,12.200000,,,,,,,0.190000,,,,"M5.5/M6"
"2MASS J19383260+4603591 b","2MASS J19383260+4603591",294.6359173,46.0664076,"Eclipse Timing Variations","Kepler",2015,13.40000000,603.87700000,406.00000000000,0.9200000000,0.330000,1.380000,669.65,,,,29564.00,0.203000,0.480000,-0.0920,5.508000,1.45000,
"2MASS J22362452+4751425 b","2MASS J22362452+4751425",339.1025931,47.8616830,"Imaging","W. M. Keck Observatory",2016,12.30000000,3972.87500000,,230.0000000000,,11.700000,10.30,,,,4045.00,0.641152,0.600000,,4.623490,-1.02143,"K7 V"
"61 Vir b","61 Vir",199.5964550,-18.3157745,"Radial Velocity","Multiple Observatories",2009,2.11000000,5.10000000,4.21500000000,0.0502010000,0.120000,2.980000,1177.85,,,,5577.00,0.963000,0.942000,-0.0100,4.340000,-0.09500,"G5 V"
"81 Cet b","81 Cet",39.4243555,-3.3963607,"Radial Velocity","Okayama Astrophysical Observatory",2008,13.10000000,1051.05854195,1005.57000000000,2.1040000000,0.037000,2.570000,526.92,,,,4734.00,11.210000,1.230000,-0.1100,2.410000,1.76027,"G5 III"
"AB Aur b","AB Aur",73.9410446,30.5510888,"Imaging","Subaru Telescope",2022,12.50000000,2860.45566300,,93.9000000000,0.400000,8.050000,83.63,,,42.60000,9770.00,2.958870,2.400000,,3.774110,1.77085,
"AF Lep b","AF Lep",81.7699216,-11.9011752,"Imaging","Paranal Observatory",2023,13.00000000,1147.36054927,8905.00000000000,8.9960000000,0.015000,2.870000,1400.00,,,57.50000,6140.00,1.250000,1.218000,0.1900,4.400000,0.29000,"F8"
"BD+20 2457 c","BD+20 2457",154.1867820,19.8912626,"Radial Velocity","McDonald Observatory",2009,12.40000000,3963.17000000,621.99000000000,2.0100000000,0.180000,11.400000,984.96,,,,4137.00,49.000000,2.800000,-1.0000,1.510000,3.17000,"K2 II"
"BD+48 740 b","BD+48 740",40.7425426,48.9300579,"Radial Velocity","Multiple Observatories",2018,13.50000000,540.31100000,733.00000000000,1.7000000000,0.760000,1.210000,538.94,,,,4534.00,10.330000,1.090000,-0.1300,2.480000,1.64000,"K3 III"
"BD-06 1339 c","BD-06 1339",88.2511811,-5.9963378,"Radial Velocity","La Silla Observatory",2013,8.38000000,53.00000000,125.94000000000,0.4350000000,0.310000,0.495000,261.91,,,,4324.00,0.686355,0.700000,-0.1400,4.740000,-1.02200,"K7/M0 V"
"BD-08 2823 b","BD-08 2823",150.1971964,-9.5165689,"Radial Velocity","La Silla Observatory",2009,,2948.49413174,5.60000000000,0.0600000000,0.150000,,798.86,,,0.27460,4816.00,0.710000,0.500000,-0.0600,4.430000,-0.62597,"K3 V"
"BD-11 4672 c","BD-11 4672",278.3688659,-11.6370481,"Radial Velocity","Roque de los Muchachos Observatory",2020,4.04000000,15.37000000,74.20000000000,0.3000000000,0.400000,1.280000,320.21,,,,4550.00,0.639000,0.651000,-0.3500,4.642000,-0.80410,"K7V"
"Barnard b","Barnard's star",269.4486144,4.7379808,"Radial Velocity","Paranal Observatory",2024,0.72000000,0.29900000,3.15420000000,0.0229000000,0.030000,4.400000,438.00,,,,3195.00,0.185000,0.162000,-0.5600,4.900000,-2.44977,"M3.5-4 V"
